SampleID,FragMa.CGA,FragMa.CGT,FragMa.CGG,FragMa.CGC,FragMa.ACG,FragMa.TCG,FragMa.GCG,FragMa.CCG,FragMa.CGN_NCG_ratio,FragMa.CG1.CGC,FragMa.CG1.ACG,FragMa.CG1.TCG,FragMa.CG1.GCG,FragMa.CG1.CCG,FragMa.CG2.CGA,FragMa.CG2.CGT,FragMa.CG2.CGG,FragMa.CG2.CGC,FragMa.CG2.GCG,FragMa.CG1.CGN_NCG_ratio,FragMa.CG2.CGN_NCG_ratio
Breast-P178,0.2312954798958942,0.1499123599086418,0.1997769161310883,0.2338875019918202,0.0178573325543103,0.016401975885696,0.0446911350719711,0.1061772985605778,4.4016755609112295,0.6186810366948935,0.0280985373364126,0.0202720041057223,0.1145753143443674,0.218373107518604,0.149074074074074,0.1891975308641975,0.2032407407407407,0.3179012345679012,0.1405864197530864,1.6224764468371466,6.113062568605928
Breast-P177,0.2367494147174825,0.1531014700609537,0.2013688228966739,0.2343028283382194,0.0166937337860924,0.0145107881804568,0.042635985911037,0.100636956109084,4.731399214264128,0.6244022230838826,0.0271423032183016,0.0165438800568695,0.1183921416569729,0.2135194519839731,0.1577884764715018,0.1970802919708029,0.2000310607237148,0.3157322565615779,0.1293679142724025,1.6624225739848588,6.729891956782713
Breast-P176,0.231117565782175,0.1487196554819319,0.1963329400018153,0.2315209827236694,0.0182445311790868,0.0170645366252155,0.0428933063043982,0.1141064819017074,4.199968533668974,0.6231594709258798,0.0289493386573496,0.0141003244322435,0.1088095832293486,0.2249812827551784,0.1561561561561561,0.1866603445550814,0.2046783625730994,0.3238501659554291,0.1286549707602339,1.6536423841059602,6.7727272727272725
Breast-P175,0.2319407223711051,0.1473541058357665,0.1991820327186912,0.2237610495580176,0.0181992720291188,0.0200091996320147,0.045918163273469,0.1136354545818167,4.056580876776053,0.615727002967359,0.029673590504451,0.0191641938674579,0.1152324431256182,0.2202027695351137,0.1540044085231447,0.1832476120499632,0.2077883908890521,0.3188831741366642,0.1360764144011756,1.6023166023166022,6.348812095032398
Breast-P174,0.2358579274677836,0.1509093240441946,0.1968884234821447,0.2363280832603167,0.0165516209689483,0.0162844869959181,0.0430085696578548,0.1041715641228388,4.555054312340476,0.6294457119849685,0.0276472956650114,0.0202657361427996,0.1150181183733727,0.2076231378338478,0.1584264503290984,0.1847543242002143,0.1945507423848155,0.3309352517985611,0.1313332312873106,1.6986599058312206,6.6142191142191145
Breast-P173,0.2331509294000021,0.1491985336013847,0.2003612242923336,0.2321403614393068,0.0173624176225851,0.016287345323973,0.044411236655665,0.1070879516647494,4.40105678782952,0.6080395299145299,0.031650641025641,0.0206997863247863,0.1141826923076923,0.2254273504273504,0.1546094750320102,0.1792573623559539,0.1912612035851472,0.3338668373879641,0.1410051216389244,1.5512776831345827,6.091940976163451
Breast-P172,0.2348234610355015,0.1442437157940621,0.2010364701893737,0.2327020874703346,0.0179590255242892,0.0171066014433089,0.0416137937714922,0.1105148447716375,4.342043984476067,0.6174618551707435,0.0289416323565027,0.0171954468394284,0.1147977718575926,0.2216032937757326,0.1568740123545467,0.1847435713259589,0.2146243355839678,0.318488722884643,0.1252693578508835,1.6141183918961697,6.982798165137615
Breast-P171,0.2283809963562631,0.1484295795147706,0.2036577898678016,0.2298565592282906,0.0191421659656906,0.0189514469550204,0.0463447195928651,0.1052367425192977,4.272174005080441,0.6050520770980486,0.0339997605650664,0.0213097090865557,0.1207949239794086,0.2188435292709206,0.1568987431153791,0.1841547803982488,0.204067222143765,0.303205761898037,0.1516734924445699,1.5319793876932404,5.593109869646183
Breast-P170,0.2323196290020512,0.1474974483981886,0.2008085852730461,0.2305657124171348,0.0178067124468622,0.0167860717223064,0.0445217356837797,0.1096941050566307,4.296368216647423,0.6207065750736016,0.0296859666339548,0.0176643768400392,0.1162904808635917,0.2156526005888125,0.1522025464656812,0.184984633396751,0.2107419874140202,0.3275281721059563,0.1245426606175911,1.6364812419146184,7.029377203290247
Breast-P169,0.2387761924789974,0.1506896588911536,0.200254510552482,0.2382477595522339,0.0168990693109881,0.0153569079124742,0.0419079663959795,0.0978679349056909,4.812876128385155,0.6245492186456525,0.0303192199813009,0.0189662080940296,0.1172699345532256,0.2088954187257913,0.1490811153358681,0.186787072243346,0.1972433460076045,0.3317490494296577,0.1351394169835234,1.663464959089292,6.399765533411489
Breast-P168,0.2315334453639409,0.1518437490091632,0.2018664721984421,0.2282570785376835,0.0173541752539184,0.0170265385712926,0.0435122652377479,0.108606275827811,4.361951717103026,0.6222136817832437,0.0301050473994363,0.0171662823469126,0.1145272867025365,0.2159877017678708,0.15998742731416,0.1945623133741945,0.2049347791922049,0.307087851642307,0.1334276284771334,1.646998982706002,6.4946996466431095
Breast-P167,0.2306360270093661,0.1525702461337399,0.2019059028534088,0.235144848616859,0.0180352864299716,0.0172184709213678,0.0450337617076889,0.0994554563275974,4.563499757634513,0.6161211023418295,0.0324750938025617,0.0204424893259153,0.1194203648596196,0.2115409496700737,0.1457364341085271,0.1829457364341085,0.1897674418604651,0.3289922480620155,0.1525581395348837,1.6049882035726324,5.554878048780488
Breast-P166,0.2412140883711045,0.1502927027183678,0.2094514963581213,0.2290229718503062,0.0157267335149442,0.0147220773198863,0.0430166734287756,0.0965532564384937,4.881704545454546,0.6205115888074937,0.0278611744926143,0.0181337816740722,0.1198510868259877,0.2136423681998318,0.1536523929471032,0.1805205709487825,0.2036104114189756,0.3168205989364679,0.1453960257486705,1.635126582278481,5.87776708373436
Breast-P165,0.2362844451281656,0.1507124588966021,0.2080841489914043,0.2336884410514778,0.0158452396977097,0.0147491490875526,0.0426129261773359,0.0980231909697517,4.84008085799315,0.6310503388189739,0.0281945788964181,0.0164569215876089,0.1109632139399806,0.2133349467570184,0.1586089906700593,0.1816511167656206,0.1942324003392705,0.329375176703421,0.1361323155216285,1.7103968514266972,6.345794392523365
Breast-P164,0.2359344237467817,0.1483227320914735,0.2026919582008178,0.2297440557322429,0.0168862638194759,0.0162236862032409,0.0414868241708314,0.1087100560351355,4.455334090674378,0.6214591282229159,0.0293675569429991,0.0152618799861255,0.111689212625737,0.2222222222222222,0.1668550437976829,0.1864933597061316,0.2069793727041537,0.3130827917490816,0.1265894320429499,1.6417226634086743,6.899553571428571
Breast-P163,0.2343273558879047,0.1502559169449688,0.206475969217366,0.2318680121968927,0.0161173224916509,0.0149557136634238,0.0414095397125018,0.1045901698852911,4.64739647396474,0.6240550603633082,0.0278686674940764,0.0151190341870698,0.1114746699763059,0.2214825679792395,0.1538461538461538,0.1887125220458553,0.1953601953601953,0.3270926604259938,0.1349884683218016,1.6599639855942376,6.408040201005025
Breast-P162,0.2365206589571441,0.1508187670679167,0.1989194837971863,0.2346869362041939,0.0165527983989431,0.0146697820236017,0.0384687429140417,0.1093628306369721,4.584902543772713,0.6178960096735188,0.0280532043530834,0.0185006045949214,0.1106408706166868,0.2249093107617896,0.164883482339147,0.1855488787923201,0.1993258097611021,0.3310860325370072,0.1191557965704235,1.6170886075949369,7.392373923739237
Breast-P161,0.2330389992641648,0.147718910963944,0.2046081677704194,0.2297921265636497,0.0172277409860191,0.0164919058130978,0.0443524650478292,0.1067696835908756,4.410031847133758,0.6171560161197467,0.0268278641335636,0.0198042602187679,0.1157167530224525,0.2204951065054692,0.156995661605206,0.1785520607375271,0.2053958785249457,0.3184652928416486,0.1405911062906724,1.61203007518797,6.112825458052074
Breast-P160,0.2362722053100073,0.1559284805980501,0.2032291626526916,0.2328811991830758,0.0166852915109244,0.0150957573889252,0.0441312473507764,0.0957766560055489,4.824486589608349,0.6191145467322557,0.0262356523776059,0.0176856406652611,0.1236823612087139,0.213281799016163,0.1571487546442823,0.1848080363286088,0.1949910554561717,0.3149855511215081,0.1480666024494289,1.6254612546125462,5.753717472118959
Breast-P159,0.2337514940289063,0.1506382893243474,0.2024748149412934,0.2312204332934925,0.017044484396814,0.016431806996575,0.0420638188885429,0.1063748581300282,4.497073763250883,0.61839821472849,0.0324820233077113,0.0159930572774609,0.1109595834366476,0.22216712124969,0.1588992454505104,0.1874537653499038,0.1967746708092913,0.3191300488237905,0.1377422695665039,1.6205328135152697,6.259935553168636
Breast-P158,0.2343175890494412,0.1499704913663449,0.1999733470405696,0.2340986540255487,0.017076931863613,0.0158299541188341,0.0448340853275458,0.1038989472081025,4.505397757048527,0.6140052207467938,0.0306435137895812,0.0198615367154693,0.1174668028600612,0.2180229258880944,0.1582793326899214,0.1799255480490831,0.2023990073073211,0.3063559906245691,0.1530401213291052,1.590708615113202,5.534234234234234
Breast-P157,0.2259034442221393,0.1503385443159596,0.198412967547221,0.2295319158556298,0.0193631523618976,0.0173511026710524,0.0467405925373303,0.1123582804887698,4.106909888587428,0.6258137560147183,0.0270308519671667,0.0178318709312199,0.1119445230682139,0.217378998018681,0.1524513096037609,0.1759570181329751,0.2034922766957689,0.3190060443250503,0.1490933512424446,1.672465960665658,5.707207207207207
Breast-P156,0.2337537230539363,0.1521561765833423,0.2022097492406444,0.2347465374369661,0.0157769018293342,0.0115304086266723,0.035387443355516,0.1144390598735881,4.645449500554939,0.6446833617411827,0.0288448931427822,0.0110135046545168,0.0949259210698833,0.2205323193916349,0.1526388675180797,0.1974149869210647,0.1967995076165564,0.3500538544391445,0.1030927835051546,1.814391143911439,8.7
Breast-P155,0.2360804082391587,0.1509823771253848,0.1969609321736256,0.2355432514513563,0.0176641943681176,0.0126025246369026,0.0384893498336879,0.1116769621717662,4.542222476670292,0.6475250278086763,0.0279477196885428,0.0118186874304783,0.0980255839822024,0.2146829810901001,0.1654767570997937,0.1976836427098207,0.1978422973187371,0.3306362049817547,0.1083610978898937,1.8370808678500987,8.22840409956076
Breast-P154,0.2383172216885943,0.1499043875959428,0.1995523400805435,0.2357793071845892,0.0168577446047286,0.0112531834083839,0.0367733236986579,0.1115624917385595,4.667432452679419,0.64546186586909,0.0297940871965949,0.0097779822845968,0.090302542275394,0.2246635223743241,0.1717536813922356,0.2042838018741633,0.1983935742971887,0.3287817938420348,0.0967871485943775,1.8205710577547047,9.33195020746888
Breast-P153,0.2327330243915975,0.1454338596442545,0.1990731747925743,0.2289128765805514,0.0184255071176846,0.0135601372663281,0.0392282006456327,0.1226332195613767,4.158705921649091,0.6492929765104593,0.0264111253944139,0.0120369288301975,0.0913871684001402,0.220871800864789,0.1675535739968359,0.1858190709046454,0.2086868977419818,0.3328059830289084,0.1051344743276283,1.8513828723758747,8.511627906976743
Breast-P152,0.2329490273757896,0.151023587218862,0.2009096416242776,0.2312470552035155,0.0172601132724982,0.0116349510082021,0.0360491168014461,0.1189265074954085,4.438604748457275,0.6451863354037267,0.0273033126293995,0.0100931677018633,0.0909679089026915,0.2264492753623188,0.1582722594729455,0.197879307656323,0.2087946358958365,0.3366599095587089,0.0983938874161858,1.8183807439824944,9.16323296354992
Breast-P151,0.2433195642637812,0.1583382073402544,0.1979821611346688,0.2412450650679924,0.0150515426231905,0.0097236438075742,0.0360341424184822,0.0983056733440561,5.2847625064614325,0.6455681555195557,0.0248785003471418,0.0118028234205045,0.0934968757232122,0.2242536449895857,0.1693121693121693,0.2082485415818749,0.1887125220458553,0.3325193325193325,0.1012074345407678,1.821416911524649,8.880697050938338
Breast-P150,0.2379529531851714,0.1533150837470421,0.2020321996937781,0.2366723889945715,0.0154224469911381,0.0098733354985384,0.0345195564422586,0.1102120354475015,4.8814058833160505,0.6420581655480985,0.025478498632861,0.0108128262490678,0.087621178225205,0.2340293313447675,0.1635730858468677,0.2006960556844547,0.1986658932714617,0.341792343387471,0.0952726218097447,1.79375,9.496194824961949
Breast-P149,0.2379256488564806,0.1510102165673527,0.1999940312167364,0.2365926205942918,0.0161853506162768,0.0109925091770042,0.0368771325965202,0.1104224903753369,4.731398597411483,0.6462715105162524,0.0262587635436583,0.0113448056086679,0.0920331421287444,0.2240917782026768,0.1681804420224038,0.202240387526491,0.1902815622161671,0.3468059339993944,0.0924916742355434,1.827027027027027,9.811783960720131
Breast-P148,0.2351828951377314,0.1497302722368586,0.2025019266268795,0.2365718587020807,0.0166227574959227,0.0100632650500922,0.0347957775507643,0.1145312471996702,4.681397006414826,0.6434411660149307,0.026898921673184,0.0090058063751629,0.0943239720346012,0.2263301339021211,0.1690780141843971,0.1953191489361702,0.2126241134751773,0.3319148936170212,0.091063829787234,1.8045862412761715,9.981308411214954
